,author,published_at,updated_at,like_count,text,sentimiento
42,@jeanenerowan,2024-05-27T17:52:22Z,2024-05-27T17:52:22Z,0,"🤣🤣🤣 Trump posing with the people whom he called &quot;losers and suckers&quot; is such a slap in the face. 🙄 Then Fox News implying that &quot;Blue-Collard workers&quot; should vote for him when every one of his policies takes money out of our pockets &amp; puts it into the ultra-wealthy&#39;s bank accounts is absurd. Get your brown noses out of Trump&#39;s a**, get some dignity &amp; start thinking for yourselves.",0.5106
43,@corinacarrera7301,2024-05-27T17:52:03Z,2024-05-27T17:52:03Z,1,Lmao trump waveing pretending people are cheering for him.,0.8225
44,@richardmpistol8756,2024-05-27T17:51:19Z,2024-05-27T17:51:41Z,0,Excuse me what did you say hello is anyone that I can&#39;t hear you. What did Biden put you there.,0.0772
45,@Tamaah23,2024-05-27T17:49:50Z,2024-05-27T17:49:50Z,0,Can’t hear the reporter at all at nascar. 🙄,0.0
46,@GySgt_USMC_Ret.,2024-05-27T17:40:34Z,2024-05-27T17:41:14Z,0,Trump 2024! 🇺🇸<br><br>Fair winds and following seas to all.,0.0
47,@parabellum5503,2024-05-27T17:40:15Z,2024-05-27T17:40:15Z,1,When are yall gonna stop lying for this dude. Hasnt he cost yall millions of dollars.,-0.6808
48,@LorenTucker-wu9su,2024-05-27T17:40:11Z,2024-05-27T17:40:11Z,1,Patriotic?  Patriotic??<br><br>Yeah he is so patriotic he dodged the draft five times!,0.0
49,@dereknewton4786,2024-05-27T17:38:30Z,2024-05-27T17:38:30Z,0,Get rid of both these 2 old farts (trump and Biden) and get someone younger who is a real American!  Someone who does kiss a$$ and takes care of the American people!,0.7639
50,@tracysherlock6199,2024-05-27T17:37:56Z,2024-05-27T17:37:56Z,1,No they werent cheering for CIVILIAN Trump...it was the Nasca excitment that the crowd were cheering on...and yes the billboard is a true depiction of Trump...Trumps a sad pathetic loser..vote blue.💙💙💙💙💙💙💙,-0.8361
51,@jaystasko4311,2024-05-27T17:36:08Z,2024-05-27T17:36:08Z,0,"The new saying should be Baseball, Apple Pie, Chevrolet and Donald Trump.",0.0
52,@dwaynetaylor2563,2024-05-27T17:34:34Z,2024-05-27T17:34:34Z,1,No he didn&#39;t.,-0.296
53,@dreamwell2020,2024-05-27T17:33:31Z,2024-05-27T17:33:31Z,1,Places where Mr. Trump won&#39;t face open ridicule are getting harder to find.,-0.4588
54,@corinacarrera7301,2024-05-27T17:31:23Z,2024-05-27T17:31:23Z,1,When trump said Macain is not a war hero my dad who is a veteran  said trump is a pathetic coward!!,-0.7942
55,@hammajamma100,2024-05-27T17:29:40Z,2024-05-27T17:29:40Z,1,"Trump garbled self serving rant post on Truth Social this Memorial Day morning was disrespectful to those who gave the ultimate sacrifice. The guy has no sense of decorum, taste, or tact.",-0.3182
56,@ninthundertow,2024-05-27T17:29:14Z,2024-05-27T17:29:14Z,0,&quot;Southern Rednecks&quot; was a bit rough frfr...,0.0
57,@happycamper8888,2024-05-27T17:28:33Z,2024-05-27T17:28:33Z,1,THE SMART REDNECKS WON&#39;T BE VOTING FOR TRUMP😅,0.4019
58,@zangetsuzabimaru,2024-05-27T17:27:43Z,2024-05-27T17:27:43Z,0,Why do they keep saying presumptive? He won the primaries.. he has the delegates.. he IS the nominee,0.5719
59,@mr.3231,2024-05-27T17:27:05Z,2024-05-27T17:27:05Z,0,Now you all for trump you turned on him not long time ago what a hypocritical media even Israel for him now after they betrayed him with Biden backing Biden in the last election even though he did to Israel what no other president did recognise Jerusalem their capital transferred the American embassy to Jerusalem in top of that when he criticised them they called him antisemitic you are with the winner or you think gonna be the winner if Biden can beat him in the next election you will go with Biden simply with your interests and goals and agenda who ever serve your interests even if its the devil 😈 himself,-0.5994
60,@ronwatson4135,2024-05-27T17:26:15Z,2024-05-27T17:27:37Z,0,"What a Bunch of Fools to keep supporting Joe Biden, who looks and acts like Central Casting from the show, &quot; The Walking Dead &quot;.",-0.4767
61,@ScottGravlee,2024-05-27T17:24:19Z,2024-05-27T17:24:19Z,1,Did she not see him getting booed at the libertarian event?,0.2263
62,@terrykline1358,2024-05-27T17:23:13Z,2024-05-27T17:23:13Z,0,"What a True Class Act, Greatest President in My 60 years on this Earth. God Bless President Trump and God Bless The USA. God Bless Our Veterans and may they have Wonderful Weekend and May our Veterans Loss and their families be Blessed by God and may they find Peace and Joy 🙏🙏🙏🙏",0.9876
63,@joseurbano9732,2024-05-27T17:22:13Z,2024-05-27T17:22:13Z,0,Lies 😂😂😂 it was for the band playing.,-0.25
64,@stephenholmes5362,2024-05-27T17:20:07Z,2024-05-27T17:20:07Z,1,"Such wonderful reporting by FoxNews, what a joke, just like Trump!!!",0.851
65,@cttile,2024-05-27T17:18:37Z,2024-05-27T17:18:37Z,1,He doesn’t deserve any respect. Never trust a man that doesn’t respect your vote.,0.542
66,@philmccrevis5364,2024-05-27T17:18:00Z,2024-05-27T17:18:00Z,1,They made sure to stand the only black person in the picture right next to Donald lol.,0.6249
67,@percivalgooglyeyes6178,2024-05-27T17:15:57Z,2024-05-27T17:15:57Z,0,Joe Biden refers to our fallen veterans as &quot;Suckers and Losers&quot;. How that embecil can ever hold the office is a tragedy.,-0.7845
68,@CoolGuySayingCoolThings,2024-05-27T17:15:02Z,2024-05-27T17:15:02Z,0,They were cheering for the race. We&#39;ll be cheering louder once hes sentenced to prison,0.4939
69,@illmatic3267,2024-05-27T17:14:41Z,2024-05-27T17:14:41Z,0,women ☕,0.0
70,@williamdaniels4013,2024-05-27T17:11:59Z,2024-05-27T17:11:59Z,0,YOUR BIG STORY IS TRUMP STATE SIDE AT THE INDY 500. MORONS.😅🤣😂,0.0
71,@rickatick6737,2024-05-27T17:10:18Z,2024-05-27T17:10:18Z,0,"Let’s have you report from about 20ft from the track, can’t be that loud right???",0.0
72,@natesbored,2024-05-27T17:08:58Z,2024-05-27T17:08:58Z,0,Fox News- setting their viewers up for disappointment when the election is over.,-0.5106
73,@sandiegotrafficlightstrain354,2024-05-27T17:05:25Z,2024-05-27T17:05:25Z,0,"Oh stop it, everyone was ignoring Trump, no one was even waving at him, and he was waving at fans cheering for the drivers.",-0.4215
74,@albertmoore4445,2024-05-27T17:04:52Z,2024-05-27T17:04:52Z,0,"The  video is totally phony, pasted together by his campaign from poses for nobody and crowd shots. Sick!!",-0.5972
75,@Steve-pk9ok,2024-05-27T17:02:13Z,2024-05-27T17:02:13Z,0,"I do my very best to try and understand Brandon voters, but I just don&#39;t get it.",0.4111
76,@cariboujadewildernesslife9210,2024-05-27T17:01:19Z,2024-05-27T17:01:19Z,0,Trump should take over Joes campaign phrase and say Joe lied and didn&#39;t... couldn&#39;t... Build back better so I guess we will have to show him how... We&#39;ll Build Back Better and Make America Great Again,0.8074
77,@dianak3,2024-05-27T17:00:43Z,2024-05-27T17:00:43Z,0,"Wow, what a mistake to put a reporter reporting next to high-speed cars going around the track. I can&#39;t give Fox News a like for such a failed newscast.🤥",0.1531
78,@BonafideGail,2024-05-27T17:00:39Z,2024-05-27T17:00:39Z,0,It wasn&#39;t for him. Ha ha ha,0.7351
79,@nicebutnotinasandbox668,2024-05-27T17:00:04Z,2024-05-27T17:00:04Z,0,No one believes what that billboard said was true...Come on man!,-0.3595
80,@Spilllage,2024-05-27T16:59:05Z,2024-05-27T16:59:05Z,0,I can’t hear anything I am done with Fox News,0.0
81,@cruelcarp5516,2024-05-27T16:56:13Z,2024-05-27T16:56:13Z,1,They hated trump at the libritarian convention. Did you watch the speech?  I did.,-0.6369
82,@corinacarrera7301,2024-05-27T16:54:56Z,2024-05-27T16:54:56Z,0,Lmao fox is stupid,0.128
83,@cruelcarp5516,2024-05-27T16:54:16Z,2024-05-27T16:54:16Z,1,Trump faked his reception again. No one at the even knew trump was there.  He&#39;s a liar. Everything he does is a scam.,-0.8481
84,@randylotito8045,2024-05-27T16:51:05Z,2024-05-27T16:51:05Z,0,L.G.B.T.Q. GAYS 🏳️‍🌈🏳️‍🌈🏳️‍🌈 🏳️‍⚧️🏳️‍⚧️🏳️‍⚧️ FOR JOE BIDEN &amp; KAMALA HARRIS 🇺🇸🇺🇲🇺🇸 # 2025 💙💙💙.,0.0
85,@tbrady333,2024-05-27T16:50:04Z,2024-05-27T16:50:04Z,0,Why trump so patriotic but he running on pardoning an commuting sentencing of criminals,-0.5267
86,@laurence1643,2024-05-27T16:45:36Z,2024-05-27T16:45:36Z,0,Hello Princess LEAH .,0.0
87,@darrellkaczynski7531,2024-05-27T16:45:09Z,2024-05-27T16:45:09Z,0,"Booed of the stage. <br>Dilusional welcomed NASCAR f<br>No one around him, no one cares.",0.4939
88,@mitchelltriplett7974,2024-05-27T16:44:27Z,2024-05-27T16:44:27Z,0,Draft dodger salutes to amazing grace... was he bone spirs or flat feet? I get him and Biden mixed up a lot.,0.5859
89,@ImWilson1,2024-05-27T16:43:17Z,2024-05-27T16:44:36Z,0,Biden is at the beach again. I love the lies Biden gave the commencement speech at  West Point where he shook every hand. Meanwhile Trump spends his weekend on Truth Social ranting about how bad he is treated after he commits crimes.,0.4767
90,@brittanyrenee8478,2024-05-27T16:42:03Z,2024-05-27T16:42:03Z,0,"Repent the day of the Lord is at hand! Escape the wrath that is to come!!<br>Did you know the bible says most people are going to Hell? There is a narrow road to get to Heaven and very few find it? Why is this? Because we are dead in trespasses and unable to have full revelation of the bible and God’s will for our lives. We need the merciful gift from God of regeneration. This is where God brings us to life and leads us to repentance and the turning away from a life of sin and leads us to accept him as our Lord and Savior. We become servants of Christ rather than slaves of sin. The bible says unless a man be born again he will not enter the Kingdom of Heaven. The bible says we must examine ourselves to be sure we are in the faith! Is your eternity assured? Have you been reborn from above? I pray today that you will ask the Holy Spirit to regenerate you, teach you his word, and lead you to him if he hasn’t already<br>Titus 3:5 Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost<br>Matthew 19:28 And Jesus said unto them, Verily I say unto you, That ye which have followed me, in the regeneration when the Son of man shall sit in the throne of his glory, ye also shall sit upon twelve thrones, judging the twelve tribes of Israel. And every one that hath forsaken houses, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my name&#39;s sake, shall receive an hundredfold, and shall inherit everlasting life. But many that are first shall be last; and the last shall be first.<br>If you continue in my word you are my disciple indeed<br>Give thanks in everything for this is the will of God concerning you<br>I will bless the Lord at all times his praise shall continually be in my mouth<br>Praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints",0.9897
91,@t-nutz3370,2024-05-27T16:41:21Z,2024-05-27T16:41:21Z,0,Speak up lady!,0.0
92,@avxd7,2024-05-27T16:40:26Z,2024-05-27T16:40:26Z,0,average fox news intelligence with the placement of the reporter,0.4767
93,@HighlandHomesteadGoGoMomma,2024-05-27T16:39:38Z,2024-05-27T16:39:38Z,0,So awsome 😍. President for the people 👏,0.0
94,@RedStatesPovertyWatch,2024-05-27T16:38:06Z,2024-05-27T17:04:43Z,0,It was the greatest event of cars with corporate branding going in circles! The most patriotic event in world history!,0.6988
95,@christineexum,2024-05-27T16:37:13Z,2024-05-27T16:37:13Z,0,ALLLL LIES ON THAT BILL BOARD💯💯😠😠😠😠😠😠 THE DEMOCRATS WILL SAY TRUMP BUSSED AVERY ONE IN TO NAS CAR!😂😂😂😂😂😂🤣🤣🤣🤣,-0.4753
96,@ImWilson1,2024-05-27T16:33:53Z,2024-05-27T16:33:53Z,0,LOL They cut the sound and added cheering as the plane flew over. The band MatchBox20 was playing and the announcer said give it up for MatchBox20. Fox why lie?,0.7603
97,@tra19999,2024-05-27T16:33:34Z,2024-05-27T16:33:34Z,0,Did that silly blonde actually say that the Libertarians love Trump too? She did NOT just say that!,0.69
98,@ImWilson1,2024-05-27T16:30:36Z,2024-05-27T16:30:36Z,0,I wonder does Trump salute Amazing Grace when it is sung at church? What a moron. Walking around saluting isn&#39;t patriotic it is delusional. He saluted a garbage can for God&#39;s sake. And Childress placing his hand over his heart looked so uncomfortable. I bet he is sorry he invited this clown.,0.4467
99,@no1superwoman,2024-05-27T16:29:26Z,2024-05-27T16:29:26Z,1,"My president ,yes I am voting for Trump in 2024!",0.4574
100,@Doctorbig,2024-05-27T16:25:52Z,2024-05-27T16:25:52Z,0,President Trumps favorite drink is diet Coke!,0.5093
101,@dokezmon,2024-05-27T16:23:41Z,2024-05-27T16:23:41Z,0,gold star family??? you mean losers according to DJT? why would they take a picture with him when he called them a bunch of losers,-0.8299
102,@davidl2469,2024-05-27T16:21:50Z,2024-05-27T16:21:50Z,1,Trump all the way,0.0
103,@christineb.4810,2024-05-27T16:21:19Z,2024-05-27T16:21:19Z,0,👏🏻👏🏻👏🏻❤️🤍💙🇺🇸🇺🇸🇺🇸,0.0
104,@markvetter4711,2024-05-27T16:19:45Z,2024-05-27T16:19:45Z,0,"Cheering for Matchbox 20, when the plane flew over. And for the race the rest of the time. Most people didn’t even know he was there. The salute for Amazing Grace was pathetic. The Fox manure spreader did a nice job editing it to fit the Trump campaigns narrative.",0.8885
105,@carlnoe2,2024-05-27T16:18:48Z,2024-05-27T16:18:48Z,0,"That was a yawn, not a roar",0.0
106,@user-zh8il6zh6o,2024-05-27T16:17:06Z,2024-05-27T16:17:06Z,1,"DNCs lies are Not being believed anymore, I will never vote for a Democrat again,,Everrrrrr😊",-0.4215
107,@rexxorrwill8688,2024-05-27T16:15:09Z,2024-05-27T16:15:09Z,0,That reporting audio from a live racetrack was horrid.,-0.5423
108,@rickevenson8191,2024-05-27T16:14:23Z,2024-05-27T16:14:23Z,0,Ya the truth hurts!!,-0.3365
109,@michaeloflaherty7189,2024-05-27T16:12:46Z,2024-05-27T16:12:46Z,0,ROFL! He was loved at the Libertarian convention?! Go WATCH THE VIDEOS OF HIM MERCILESSLY BOOED OF THE STAGE!  <br><br>Now you know how much you can trust focx - ZERO!<br><br>Be clear - you destroyed a great party - gop! You won’t ever be forgiven for your trash show and part in sparking Jan 6th!,0.9735
110,@davidkatz1829,2024-05-27T16:12:14Z,2024-05-27T16:12:14Z,0,More false propaganda being spewed on Faux. The crowd is cheering for Match Box 20.<br>Listen to the announcement,0.2551
111,@michaeloflaherty7189,2024-05-27T16:09:52Z,2024-05-27T16:09:52Z,0,Ask yourselves- why hasn’t fox ever held a debate?,0.0
112,@michaeloflaherty7189,2024-05-27T16:09:21Z,2024-05-27T16:09:21Z,0,"BE BERY CLEAR - TRUMP WILL NOT SHOW UP TO ANY DEBATE!  Scream, yell, blah blah - TRUMP WILL NOT SHOW UP TO ANY DEBATE!",-0.1904
113,@michaeloflaherty7189,2024-05-27T16:07:45Z,2024-05-27T16:07:45Z,0,That sign wasn’t out there by democrats!  If you were real reporters - you would know it was those republicans burned by the liar.,-0.5562
114,@SC-hk9so,2024-05-27T16:07:42Z,2024-05-27T16:07:42Z,0,"Big News, on vacation again Joe Biden was buried at the beach because he was mistaken for a corpse.",-0.7351
115,@michaeloflaherty7189,2024-05-27T16:06:21Z,2024-05-27T16:06:21Z,0,WHAT IDIOT SALUTES AMAZING GRACE?!<br><br>Regardless what side you are on - you 100% support our democracy!! You do NOT FEED LIES AND INCITE RIOTS! <br><br>Everyone at fox sold their souls for money.,0.4955
116,@michaeloflaherty7189,2024-05-27T16:04:12Z,2024-05-27T16:04:12Z,0,"Now you know without question why I left the gop.  Call that party the dmoa, delusional morons of America. <br><br>I was THERE YOU LYING MORONS!   No one was cheering the trump! No one! A band was introduced- no one even noticed a plane above! <br><br><br>He showed up outside the stadium- as fans cheered the event - waves and you make it sound like it was for him with you CRAPPY LYING FAKE NEWS!<br><br>What you failed to realize - GROWN UPS - RESPONSIBLE GROWN UPS EXPECT REAL NEWS COVERAGE!  But you cater to BOTTOM FEEDERS! You had a chance to become a real news station- but you chose HATE AND LIES! You should be held accountable for Jan 6. <br><br><br>Everyone at this station they are against our democracy.<br><br>What can’t anyone fired from this network find jobs?!<br><br><br>Lame",-0.9786
117,@ericbennett-wu4zx,2024-05-27T16:03:30Z,2024-05-27T16:03:30Z,0,Maybe??? Speak louder? With the mic BY YOUr MOUTH?,0.0
118,@stephaniegreisen9176,2024-05-27T16:01:31Z,2024-05-27T16:01:31Z,0,😂😂😂😂😂😂😂😂😂😂😂 liars,-0.5267
119,@chrisd_man2156,2024-05-27T15:59:55Z,2024-05-27T15:59:55Z,0,"Try and remember 54% of people who have an address and can vote, DO NOT WORK,.......<br>Try and remember that dillary and President Trump lost by less than 0.02% of the vote.<br><br>15 MILLION ILLEAGLES ARE MORE THAN ENOUGH TO KEEPJOE AND KAMAL IN OFFICE. <br><br>GET READY TO ALL HAIL KAMAL, AS YOUR NEXT DICTATOR!",0.5037
120,@_Captain_Benji_,2024-05-27T15:59:46Z,2024-05-27T15:59:46Z,0,Can’t believe they put her next to the track. Absolute boneheaded move.,0.0
121,@SDog6137,2024-05-27T15:57:55Z,2024-05-27T15:57:55Z,0,BS!!!.... Plain and simple nonsense... The announcer inside was talking to the race car drivers about what was going to be going on during the race it had nothing whatsoever to do with that phony Donald Trump standing outside pretending the cheering was 4 him. In Fox News should be Sued to the hilt for all the bull crap that they&#39;ve fed to the Public.,0.4545
122,@bearing_aficionado,2024-05-27T15:54:20Z,2024-05-27T15:54:20Z,0,Why in the blue hell would he go there when the Indy 500 was going on and is a much bigger event.  He would have gotten a much bigger response in Indy.,-0.6808
123,@StagvanHeuten,2024-05-27T15:53:17Z,2024-05-27T15:53:17Z,0,Dishonest - footage is fake. We saw him faking it already! What a worthless channel spreading lies.,-0.9392
124,@thegonz7833,2024-05-27T15:52:11Z,2024-05-27T15:52:11Z,0,Fox does things as if they just started. Gooooo Trump!,0.0
125,@FERNANDOAMENDIVIL,2024-05-27T15:51:30Z,2024-05-27T15:51:56Z,1,“THE GREATEST MOST POPULAR &amp; POWERFULL MAN IN AMERICA. “<br>“WE THE PEOPLE HAVE NEVER &amp; WILL NEVER ACCEPT or ACKNOWLEDGE “THE GODless-$W💩MP PRE$$ident AS OURS … PERIOD.”<br>“GOD’S TOUCHABLE WILL CONTINUE TO decline UNTIL HIS LAST GASP. <br>👏🏻👏🏻👏🏻👏🏻👏🏻<br>~  ByeD👋🏻NE ~,0.8301
126,@unit6464,2024-05-27T15:50:10Z,2024-05-27T15:50:10Z,1,Trump is like a modern day Elvis. He’s a rock star. Meanwhile senile joe is asleep at the beach,0.3612
127,@GG-pr3yo,2024-05-27T15:49:51Z,2024-05-27T15:49:51Z,0,He shortchanged the entire crowd by not doing his signature &quot;dry hump&quot; of the American flag.,0.0
128,@CHHITDaden-nl1zr,2024-05-27T15:47:32Z,2024-05-27T15:47:32Z,0,😂,0.0
129,@SteveFreeman-yo5nb,2024-05-27T15:46:43Z,2024-05-27T15:46:43Z,0,Listen to the billionaire bum plays with hookers take secret documents from the White House only trying to sound to the Russians he buried his wife on the 18th golf course supposedly she fell down the stairs the man&#39;s a turd by the way where is diapers because he&#39;s a stinking that craps in his pants,-0.34
130,@beachcomber3036,2024-05-27T15:46:00Z,2024-05-27T15:46:00Z,0,🚗 👨‍👩‍👧‍👦👨‍👩‍👦‍👦👨‍👩‍👧‍👧 🚙 BOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0
131,@KellyMason-vw2bc,2024-05-27T15:45:10Z,2024-05-27T15:45:10Z,1,Trump ❤️🇺🇸🇺🇸,0.0
132,@Nathan-ef3us,2024-05-27T15:44:36Z,2024-05-27T15:44:36Z,0,Can’t wait for Trump to lose again!  Are you all going to storm the Capitol again?<br><br>TWLA<br><br>Trump Will Lose Again!,-0.717
133,@KellyMason-vw2bc,2024-05-27T15:44:33Z,2024-05-27T15:44:33Z,1,Fjb,0.0
134,@PleaseHandleRachel,2024-05-27T15:43:49Z,2024-05-27T15:43:49Z,0,HORRRRRIBLE reporting,0.0
135,@BF-27,2024-05-27T15:42:31Z,2024-05-27T15:42:31Z,0,Probably like 200 people there.,0.3612
136,@cynthiashaw45,2024-05-27T15:41:18Z,2024-05-27T15:41:18Z,0,Trump won’t win NC.  We don’t support his 2025 agenda.,0.7579
137,@denisecase807,2024-05-27T15:39:17Z,2024-05-27T15:39:17Z,0,Don&#39;t lie faux.  That isn&#39;t what happened.,0.0
