author,published_at,updated_at,like_count,text
@MondomondoTime,2024-05-27T01:03:08Z,2024-05-27T01:03:30Z,0,That&#39;s alot of edits... Wonder what the B roll looks like
@teddyfabz835,2024-05-27T00:14:34Z,2024-05-27T00:14:34Z,3,"Remember when Joey said &quot;black kids are just as bright as white kids&quot;?  That was awesome!<br><br>Remember when Joey said &quot;you have to be at least a little Indian to even walk into a 7-11&quot;?  That was awesome!<br><br>Remember when Joey said to blacks &quot;if you don&#39;t vote for me, then you ain&#39;t black &quot;? That was awesome!<br><br>Remember when Joey said&quot;when I was VP, Obama sent me to Detroit to take care of COVID &quot;? That was awesome!"
@76ersALLDAY,2024-05-27T00:09:43Z,2024-05-27T00:09:43Z,3,Worst president in history.
@welianeferreira5149,2024-05-27T00:05:56Z,2024-05-27T00:05:56Z,0,I do take to now &quot; NIECE &quot;
@welianeferreira5149,2024-05-27T00:05:05Z,2024-05-27T00:05:05Z,0,Honored
@donaldmurphy3148,2024-05-27T00:03:11Z,2024-05-27T00:03:11Z,0,Trump will take his lunch money. And Joe will be seen for what he is.
@Fritchley,2024-05-26T23:52:38Z,2024-05-26T23:52:38Z,0,Bros losing😂
@theloverofbeliever,2024-05-26T23:44:18Z,2024-05-26T23:44:18Z,0,Useless! What happened about restoring international law and order? Shame on you!
@welianeferreira5149,2024-05-26T23:42:18Z,2024-05-26T23:42:18Z,0,Tankyou ALL right he
@welianeferreira5149,2024-05-26T23:41:37Z,2024-05-26T23:41:37Z,0,"Yes about brother , gether me né"
@welianeferreira5149,2024-05-26T23:37:58Z,2024-05-26T23:37:58Z,0,"Yes joe, I do wait in my house"
@welianeferreira5149,2024-05-26T23:34:21Z,2024-05-26T23:34:21Z,0,"But miss niece, because she missing house him"
@welianeferreira5149,2024-05-26T23:33:49Z,2024-05-26T23:33:49Z,0,"Yes joe, I camin back and street clean 8:32 pm"
@GrimSoulBanisher,2024-05-26T23:15:53Z,2024-05-26T23:15:53Z,4,One of the best campaign ads in support of Donald Trump.
@welianeferreira5149,2024-05-26T23:05:50Z,2024-05-26T23:05:50Z,0,8:05 pm
@welianeferreira5149,2024-05-26T23:05:13Z,2024-05-26T23:05:13Z,0,I do take my niece
@captfcknut,2024-05-26T22:44:59Z,2024-05-26T22:44:59Z,0,Depends price at Wally World is awesome!!!!
@princejavv3314,2024-05-26T22:22:42Z,2024-05-26T22:22:42Z,1,AI is creepy😅
@Turkiye-vv1nz,2024-05-26T22:15:37Z,2024-05-26T22:15:37Z,0,🫵 you must end the war
@welianeferreira5149,2024-05-26T21:59:08Z,2024-05-26T21:59:08Z,0,Hi. Here joe
@ChiefManny1,2024-05-26T21:51:10Z,2024-05-26T21:51:10Z,3,Demon-Rat.
@hudhud6714,2024-05-26T21:03:37Z,2024-05-26T21:03:37Z,0,IS NETANYAHU IS =PRISONN
@welianeferreira5149,2024-05-26T20:28:32Z,2024-05-26T20:28:32Z,0,I washn&#39;t
@zhivko-sr8gq,2024-05-26T20:27:21Z,2024-05-26T20:27:21Z,2,"Biden, with all due non respect you dont even know how to talk properly without drugs let alone do debates. Get your speech up and then think of opening up against trump.<br>Trump 2024"
@welianeferreira5149,2024-05-26T20:22:09Z,2024-05-26T20:22:09Z,0,Kitchen too clean
@welianeferreira5149,2024-05-26T20:21:34Z,2024-05-26T20:21:34Z,0,Ready now the my shower
@tahirmohamed4621,2024-05-26T19:41:04Z,2024-05-26T19:41:04Z,0,.ER  helvtte for arab abmnf falska muslem
@lijiajun1994gg,2024-05-26T19:19:29Z,2024-05-26T19:19:29Z,0,Please you Congratulations china Become Developed Super powerful countries
@americangal4620,2024-05-26T19:16:01Z,2024-05-26T19:16:01Z,4,"He couldn’t debate a 2 year old. He is gone. His days on earth, and in WH, are numbered. His decline is obvious for anyone with a working brain."
@welianeferreira5149,2024-05-26T19:12:25Z,2024-05-26T19:12:25Z,0,Do shower
@welianeferreira5149,2024-05-26T19:12:03Z,2024-05-26T19:12:03Z,0,"Hi,what now"
@benjaminnunes9636,2024-05-26T19:05:30Z,2024-05-26T19:05:30Z,4,Sorry but you lost my vote to The Don
@TheRealRomansThirteen,2024-05-26T18:50:23Z,2024-05-26T18:50:23Z,1,Drop out. Endorse Rfk.
@thedeadman4367,2024-05-26T18:38:56Z,2024-05-26T18:38:56Z,0,Could you give Americans free heathcare? I would be so happy
@Liberalcali,2024-05-26T18:35:14Z,2024-05-26T18:35:14Z,4,Hunter Laptop is real
@QwkDraw,2024-05-26T18:31:07Z,2024-05-26T18:31:07Z,1,"Hey, as a Democrat, I only ask for something I can work with here! There&#39;s nothing here. Biden is all used up.  You really expect me to vote him in again?"
@welianeferreira5149,2024-05-26T18:23:58Z,2024-05-26T18:23:58Z,0,Ukrainian Nathalia case
@welianeferreira5149,2024-05-26T18:21:57Z,2024-05-26T18:21:57Z,0,Discovery 🆔
@welianeferreira5149,2024-05-26T18:19:29Z,2024-05-26T18:19:29Z,0,Peoples lose in my life because rule lord only in this
@welianeferreira5149,2024-05-26T18:18:01Z,2024-05-26T18:18:01Z,0,"Yes Joe, It&#39;s about who you&#39;ll and who us at our culture diferent"
@welianeferreira5149,2024-05-26T18:15:50Z,2024-05-26T18:15:50Z,0,job tomorrow Salon hair
@welianeferreira5149,2024-05-26T18:14:26Z,2024-05-26T18:14:26Z,0,"Hey Joe, I ate brother too. Food I said to you"
@stinkystu1,2024-05-26T17:48:37Z,2024-05-26T17:48:37Z,3,Mr. Potato Head could beat you at this point.
@welianeferreira5149,2024-05-26T17:03:59Z,2024-05-26T17:03:59Z,0,Time this crime . Start at 2015 and still now 2024
@welianeferreira5149,2024-05-26T17:03:00Z,2024-05-26T17:03:00Z,0,dinner ready. About this
@welianeferreira5149,2024-05-26T17:02:36Z,2024-05-26T17:02:36Z,0,Yes I did in market. Taking a drink
@judymarlene3414,2024-05-26T16:53:51Z,2024-05-26T16:53:51Z,2,"Stop lying about the naval academy joey,just stop it,no proof…your grades were abysmal….so just stop,and your son bobo…no war hero,he heroically wrestled a rogue printer trying to raise the ac setting to 78 in the lawyer filled building he worked in…then he went hand to hand with three boxes of paper clips….a fine deed but not worthy of a bronze star….try to find an honest original thought joey,stop lying…please."
@LemmyNoylin,2024-05-26T16:32:47Z,2024-05-26T16:32:47Z,0,Irene Wiley a manipulator
@ukrainiansintheass5089,2024-05-26T15:55:17Z,2024-05-26T15:55:17Z,3,Biden will go down in history as the bloodiest US president who started a war between Russia and Ukraine.
@welianeferreira5149,2024-05-26T15:38:01Z,2024-05-26T15:38:01Z,0,Hi joe. Don&#39;t Go. Me in house make dinner
@VitorHugo-rc4lk,2024-05-26T15:26:15Z,2024-05-26T15:27:00Z,0,Tem meu Respeito meu Presidente 🇺🇲 👏🏻👏🏻👏🏻Biden
@StevenButcher-jj3bj,2024-05-26T15:06:55Z,2024-05-26T15:06:55Z,2,You sound like you’re the kid in Home Alone!
@welianeferreira5149,2024-05-26T14:41:19Z,2024-05-26T14:41:19Z,0,I&#39;m not ready joe
@tarakicordillera4120,2024-05-26T13:56:21Z,2024-05-26T13:56:21Z,2,I&#39;m very disappointed to you actually
@craigherbert200,2024-05-26T13:55:48Z,2024-05-26T13:55:48Z,1,By the looks of the comments  this POS just made  another  Trump Ad
@user-rc9dc3rb1u,2024-05-26T13:53:34Z,2024-05-26T13:53:34Z,0,Need federal funding
@user-gz8ii6ns5d,2024-05-26T13:41:53Z,2024-05-26T13:41:53Z,2,I love how he stopped uploading when he realized how bad he was bombing every upload
@user-vs1rm9ph9r,2024-05-26T13:36:22Z,2024-05-26T13:36:51Z,0,មេដឹកនាំពិភពលោកអត់ប្រយោជន៍ <br>ក្រោកពីដេករឺនៅ បើងើបហើយ ដោះស្រាយ ផ្កាយរណបរំលោភសិទ្ធមនុស្ស
@user-vs1rm9ph9r,2024-05-26T13:05:21Z,2024-05-26T13:05:21Z,0,អាកញ្ចាស់ឆ្កួត ហែង និយាយ អ្វី ដាក់ប្រជាជន អញ បានកាយវិការវាឡប់<br>អាកញ្ចាស់ឆ្កួត ( បកប្រែផងអាឆ្កែថោកទាប )
@aof13,2024-05-26T13:05:17Z,2024-05-26T13:05:17Z,2,Joe you are a simple old man with a poor memory who can&#39;t even stand for trial. <br>&quot;Biden campaign plans to get more aggressive once Trump trial ends&quot; TRUMP 2024!!!!
@user-vs1rm9ph9r,2024-05-26T13:02:11Z,2024-05-26T13:02:11Z,0,អាឆ្កែថោកទាប goodnigh
@carlzobel513,2024-05-26T12:38:04Z,2024-05-26T12:38:04Z,4,"Pinocchio, someone is pulling his strings, and he lies!"
@bathory5026,2024-05-26T12:11:06Z,2024-05-26T12:11:06Z,3,Trump should hack his teleprompter
@user-qz5cj,2024-05-26T10:55:46Z,2024-05-26T10:55:46Z,1,Corrupt election korea by china haveto   depence now.
@allanhope6263,2024-05-26T08:16:16Z,2024-05-26T08:16:16Z,1,c&#39;mon Uncle Sam - go Green!
@dinsdag6juli2010,2024-05-26T07:58:16Z,2024-05-26T07:58:16Z,2,I remember Pennsylvania looking up &#39;how to change my vote&#39; after that second debate lol
