,author,published_at,updated_at,like_count,text,sentimiento
1655,@bobbydennis8333,2024-05-15T13:11:34Z,2024-05-15T13:11:34Z,0,"((Updated)): 🗞️📰🗞️📰 “Been that way for 30 years.” - U.S. Justice Department on the lack of Human Rights in Oklahoma County Jail, 2020<br><br>“Makes me feel human again after this place.” - Oklahoma City Art Museum review after life in the local shelters (20+ years in the making), 2024<br><br>“It is said that no one truly knows a nation until one has been inside its jails. A nation should not be judged by how it treats its highest citizens, but its lowest ones.” - Nelson Mandela 🥂🥂",-0.3612
1656,@adamdavid1,2024-05-15T13:11:32Z,2024-05-15T13:11:32Z,2,This is so sad. Sinking to Donald Trump&#39;s level and making this like a WWE match. I know who won&#39;t win this election: the American people.,0.3987
1657,@Ishi_hagane01,2024-05-15T13:11:16Z,2024-05-15T13:11:16Z,105,I don&#39;t think Trump actually expected him to say &quot;Yeah I&#39;ll do it  pick the date.&quot;,0.0
1658,@srf2112,2024-05-15T13:10:57Z,2024-05-15T13:10:57Z,3,Go get him Joe!,0.0
1659,@Lejtino,2024-05-15T13:10:54Z,2024-05-15T13:10:54Z,4,"5k views in an hour, Joe fell off😪",0.0
1660,@cherylmcnutt9905,2024-05-15T13:10:03Z,2024-05-15T13:10:03Z,15,"Oh, no!! 🤣🤣🤣🤣🤣 That was brilliant, President Biden!  I can’t believe you won’t there, but am thrilled that you did!",0.7794
1661,@pretendmage7895,2024-05-15T13:09:35Z,2024-05-15T13:09:35Z,134,"Lol free on Wednesdays. Now that’s a fact, Jack!",0.75
1662,@j_ll7,2024-05-15T13:08:54Z,2024-05-15T13:08:54Z,0,Pathetic.,-0.5719
1663,@jojo_inthemitten36,2024-05-15T13:08:43Z,2024-05-15T13:08:43Z,4,💙😎🌊,0.0
1664,@thatdude4571,2024-05-15T13:08:15Z,2024-05-15T13:08:15Z,0,Where was Jill Biden while Joe Biden was showering with 11 year old Ashley Biden?,0.0
1665,@trumptheclown,2024-05-15T13:07:25Z,2024-05-15T13:07:25Z,1,the clown would never show up .........,0.0
1666,@SoItGoesCAL34,2024-05-15T13:06:48Z,2024-05-15T13:06:48Z,22,Zing!,0.0
1667,@surrealistgirlx,2024-05-15T13:05:14Z,2024-05-15T13:05:14Z,3,Dark Brandon strikes again!,-0.4199
1668,@equus3333,2024-05-15T13:04:59Z,2024-05-15T13:04:59Z,1,Great 🗳️💙🗳️💙🗳️💙👏🏻👏🏻👏🏻👏🏻👏🏻,0.6249
1669,@AngelaShawWestoven,2024-05-15T13:04:25Z,2024-05-15T13:04:25Z,1,Go get him Mr. President and have no mercy on him. Even if you have to hit below the belt. He would.,0.0772
1670,@Mr.Precedent,2024-05-15T13:03:25Z,2024-05-15T13:03:25Z,3,"Trump is far too big of a coward to ever debate again, let alone twice!!  <br>FDJ6T 🇺🇸",-0.6792
1671,@shadowknightgladstay4856,2024-05-15T13:02:00Z,2024-05-15T13:02:00Z,3,Why he gave a 17 minout speech  and lied 12 times says the New York Times.,-0.3818
1672,@ItsMeNJC,2024-05-15T13:01:52Z,2024-05-15T13:01:52Z,0,He’s gonna have it in for you now Mr President. At least he can’t throw logistically impossible dates at you anymore.,0.0
1673,@TheDapperham,2024-05-15T13:01:42Z,2024-05-15T13:01:42Z,2,Biden Harris 2024!,0.0
1674,@ralphtrani9175,2024-05-15T13:01:39Z,2024-05-16T10:28:25Z,25,&quot;I hear you&#39;re free on Wednesday&#39;s&quot; 😂,0.5106
1675,@kylewilson9260,2024-05-15T13:01:24Z,2024-05-15T13:01:24Z,14,"You do know you don&#39;t get a teleprompter, right?<br><br>Pause.",0.0
1676,@woodenpuppet7568,2024-05-15T13:00:12Z,2024-05-15T13:00:12Z,5,Old guy vs old guy for world&#39;s oldest president,0.0
1677,@MyShyCats,2024-05-15T13:00:07Z,2024-05-15T13:02:03Z,1,Though I think the form of the challenge  is great I don’t see why you should do it - he’ll never talk policy just call you silly names and taunt you about your sons- can you not loose your cool if he does that? I’m voting for you. End of story.,0.6705
1678,@susannortham11.11,2024-05-15T13:00:01Z,2024-05-15T13:00:01Z,1,Go Joe❣,0.0
1679,@maiconalessandrosouza8063,2024-05-15T12:59:59Z,2024-05-15T12:59:59Z,2,BOM DIA PRESIDENTE,0.0
1680,@DanielaMitschke-tv3dg,2024-05-15T12:59:56Z,2024-05-15T12:59:56Z,2,Ich mag sie😇❤👍,0.0
1681,@karynhana5224,2024-05-15T12:59:49Z,2024-05-15T13:00:44Z,2,"Awesome, Joe!",0.6588
1682,@Tim_Shu,2024-05-15T12:59:48Z,2024-05-15T12:59:48Z,4,"Love the Wednesdays jab, get him Joe 🥊",0.6369
