author,published_at,updated_at,like_count,text
@nunionbusiness,2024-05-03T12:11:21Z,2024-05-03T12:11:21Z,0,Only when he takes his morning Adderall
@jeffrapp7278,2024-05-02T21:59:26Z,2024-05-02T21:59:26Z,0,All 5 of them😅
@apartmentsavailableinnewyo3974,2024-05-02T13:30:01Z,2024-05-02T13:30:01Z,0,Stay strong Donald Trump. We can&#39;t wait to vote you in office.
@deborahbowden5586,2024-05-02T05:01:00Z,2024-05-02T05:01:00Z,0,❤❤❤❤❤Trump
@VazquezAntonio-ot7pz,2024-05-01T13:40:12Z,2024-05-01T13:40:12Z,0,Ciego enganando a ciegos
@091461,2024-05-01T12:22:24Z,2024-05-01T12:22:24Z,0,Lock that POS up.
@dmr123kkla,2024-05-01T00:59:07Z,2024-05-01T00:59:07Z,1,I only heard three different voices. And that&#39;s how come they weren&#39;t shown on video. <br>The Scheming and the Scamming and Hoodwinking never stop with the self-proclaimed Pussy Grabber and convicted Rapist.
@arturodeltoro1419,2024-04-30T21:46:25Z,2024-04-30T21:46:25Z,0,CONald Trump
@abelfhi6733,2024-04-30T13:04:46Z,2024-04-30T13:04:46Z,0,Trump Trump Trump Trump Trump Trump
@arthursmith9264,2024-04-30T02:38:44Z,2024-04-30T02:38:44Z,1,That depend is leaking
@rosalindaestrada5314,2024-04-30T01:36:44Z,2024-04-30T01:36:44Z,0,We love you President Trump!  Trump 2024
@Kg-ke9zs,2024-04-29T23:31:43Z,2024-04-29T23:31:43Z,0,Trump baby
@kristiandoon8976,2024-04-29T20:47:40Z,2024-04-29T20:47:40Z,0,How many diapers does he use a day?
@margaretdickson9940,2024-04-29T16:53:46Z,2024-04-29T16:53:46Z,2,Grifter
@AnimeTrackstar,2024-04-29T15:48:47Z,2024-04-29T15:48:47Z,1,pathetic traitor
@michaelzwane7487,2024-04-29T08:07:14Z,2024-04-29T08:07:14Z,1,"These ppl love someone who doesn&#39;t give a damn  about them nor his own wife who he cheated on with hookers while she was home pregnant with unborn son Barron, what a Shame. Amazing what a cult can do."
@carolyntreadwell6298,2024-04-28T21:10:02Z,2024-04-28T21:10:02Z,0,Donald Duck?
@elizabethbeattie6488,2024-04-28T18:02:46Z,2024-04-28T18:02:46Z,1,Jail hm
@lisawertz1862,2024-04-27T23:55:59Z,2024-04-27T23:55:59Z,0,We need to make sure he wins by a huge landslide
@unknowndrummer3229,2024-04-27T19:17:13Z,2024-04-27T19:17:13Z,0,All 5 of them.
@urekdumone2,2024-04-27T00:53:51Z,2024-04-27T00:53:51Z,1,"erik thinks hes a bad ass, what a biatch"
@andrewlee1573,2024-04-26T12:13:18Z,2024-04-26T12:13:18Z,0,"He is old school where he will hand the valet a $100. Just stuff like that, I guarantee most of the workers there love him."
@andrewlee1573,2024-04-26T12:11:01Z,2024-04-26T12:11:01Z,0,"We will never have a president like this for the rest of our lives. If you look at the attacks against him, you know he is good."
@paulcardsfan,2024-04-26T06:43:06Z,2024-04-26T06:43:06Z,0,Thank God RFK will be President . Thank you Trump for locking us down destroying our Country thank you for forcing RNA clod shots killing millions of our young with heart attacks.  Thanks for nothing you did nothing scum bag Trump . Will be voting for RFK Jr
@washingtonfootballfanwgil8392,2024-04-26T02:41:43Z,2024-04-26T02:41:43Z,0,Is that Mark Fhurman in the polo shirt?
@LuisSanchez-cf9tk,2024-04-26T01:44:02Z,2024-04-26T01:44:02Z,2,President poopy pants 😂😂😂😂
@ronaldreid5762,2024-04-26T00:36:33Z,2024-04-26T00:36:33Z,2,I hope they lock him  &quot; under &quot; the jail....
@silviaweinberg9622,2024-04-25T23:42:11Z,2024-04-25T23:42:11Z,0,We love you senor Trump  bendiciones
@MegaTonyng,2024-04-25T23:04:37Z,2024-04-25T23:04:37Z,1,Innocent man doesn&#39;t need Presidential immunity 😂
@shalomjosh109,2024-04-25T11:02:16Z,2024-04-25T11:02:16Z,0,May God keep him
@margie8287,2024-04-25T06:24:01Z,2024-04-25T06:24:01Z,0,Good to see this! 💗
@davidagilbert4230,2024-04-25T05:56:26Z,2024-04-25T05:56:26Z,1,NAZI FASCISTS
@davidagilbert4230,2024-04-25T05:56:05Z,2024-04-25T05:56:05Z,1,TRAITOR FASCISTS
@robertnanez129,2024-04-25T03:39:15Z,2024-04-25T03:39:15Z,0,Make sure to buy his Bible
@ADAMSIVES,2024-04-24T20:23:06Z,2024-04-24T20:23:06Z,1,Wow. Both of his supporters were there
@kmcrae6687,2024-04-24T16:58:46Z,2024-04-24T16:58:46Z,0,God bless President Donald Trump. 🙏❤
@margieest7424,2024-04-24T15:55:53Z,2024-04-24T15:55:53Z,2,Biden for 2024 an admiral respect able human being.
@margieest7424,2024-04-24T15:54:55Z,2024-04-24T15:54:55Z,1,Only 4 supporting clowns 😂😂😂😂😂
@charinarivera8405,2024-04-24T02:21:19Z,2024-04-24T02:21:19Z,1,Prison bound LOL
@pamstitely2863,2024-04-23T23:35:51Z,2024-04-23T23:35:51Z,0,We and support you our President Trump.Sending Prayers with God’s Blessings for you and your family
@BradleyBlackwood,2024-04-23T19:36:58Z,2024-04-23T19:36:58Z,1,Off to court we go!!
@maryryan8568,2024-04-23T18:02:01Z,2024-04-23T18:02:01Z,0,Love my president!
@user-vj8vc3xx2t,2024-04-23T10:36:29Z,2024-04-23T10:36:29Z,0,We love you. All the way from across the pond England
@terrygotwhatheheaskedforfo7789,2024-04-23T04:08:46Z,2024-04-23T04:08:46Z,2,Trump is a legend and i love Him and He Never Gives Up On US because He Loves US and All Americans Greatest President Ever 🙏🏿❤️🙏🏿💯
@Fat12219,2024-04-22T23:01:45Z,2024-04-22T23:01:45Z,0,Trump  24 🎉🎉🎉
@DannyMarshall-gb6nh,2024-04-22T22:37:58Z,2024-04-22T22:37:58Z,0,"Truly, the walk of shame. Think about this, the entire world is laughing at Trump. By the way, I am too."
@frankierene871,2024-04-22T16:30:48Z,2024-04-22T16:30:48Z,0,Trump 2024🎉🎉🎉
@dkhnova,2024-04-22T03:06:54Z,2024-04-22T03:06:54Z,0,Worst president in our history.
@caesarnunez4233,2024-04-22T01:01:37Z,2024-04-22T01:01:37Z,0,"Go Trump 2024.FJB and his administration, VOTE Trump"
@user-hs7kn3ng2z,2024-04-21T22:49:55Z,2024-04-21T22:49:55Z,1,"Hey, did you know that US spells us? I learned that from Donnie Twump!"
@josephmurdock8365,2024-04-21T16:10:59Z,2024-04-21T16:10:59Z,0,Trump for prison 2024!!
@Heyhi-vr5eh,2024-04-21T14:19:31Z,2024-04-21T14:19:31Z,0,Oh God
@anita2096,2024-04-20T22:19:05Z,2024-04-20T22:19:05Z,8,He got 10 paid for actors outside screaming we love you. What a joke.😂😂😂😂😂😂😂😂😂
@cardinalsfan8182,2024-04-20T21:50:26Z,2024-04-20T21:50:26Z,0,Gassy and Dozy Don—quit farting and sleeping in the courtroom numbnut!!
@kevinchang6289,2024-04-20T21:04:24Z,2024-04-20T21:04:24Z,0,I will vote Trump again
@thomasmerkelbach6875,2024-04-20T16:44:16Z,2024-04-20T16:44:16Z,0,Noch so ein Welt Verbrecher
@eddycastro-ti6fn,2024-04-20T13:02:46Z,2024-04-20T13:02:46Z,0,Trump has no swag he walks like a DUCK 🦆
@renegomez3061,2024-04-20T12:09:09Z,2024-04-20T12:09:09Z,0,Massive crowd 😂😂😂
@fredcampbell9744,2024-04-20T11:39:58Z,2024-04-20T11:39:58Z,0,Putin’s puppet 😖
@colbyrussell593,2024-04-20T03:54:30Z,2024-04-20T03:54:30Z,0,Trump2024
@colbyrussell593,2024-04-20T03:54:15Z,2024-04-20T03:54:15Z,0,Trump2024
@tylertanium7761,2024-04-20T02:31:14Z,2024-04-20T02:31:14Z,0,All 5 supporters eh<br>Pretty wild
@user-db9dd4dc7l,2024-04-19T23:17:15Z,2024-04-19T23:17:15Z,0,Boo Boo what a loser
@carlosperezrodriguez3824,2024-04-19T17:18:42Z,2024-04-19T17:18:42Z,0,😊😊😊 TRUMP VIVA TRUMP SOY EUROPEO Y MI PRESIDENTE ES DONALD TRUMP GARANTIZADO EL 2024
@ryanszumowski8749,2024-04-19T17:07:36Z,2024-04-19T17:07:36Z,0,Imagine wasting your time to go wave to someone heading to one of his like 7 court cases. You fucking weirdos are in the dumbest cult 😂
@alanluber8842,2024-04-19T10:55:27Z,2024-04-19T10:55:27Z,0,Watching the world’s greatest CONARTEST.  Can’t wait for the guilty verdict.   The rep will be all upset and means less votes.
@alanluber8842,2024-04-19T10:54:03Z,2024-04-19T10:54:03Z,0,The walk of shame.
@patsybling020,2024-04-19T08:59:36Z,2024-04-19T08:59:36Z,0,Lock him up
@cttile,2024-04-19T07:35:53Z,2024-04-19T07:35:53Z,0,"He is struggling just walking to the car. Guys a mess,"
@Jacob-hl3gt,2024-04-19T07:14:18Z,2024-04-19T07:14:18Z,0,Love to see tTump in jail for 24-life!!💙💙💙💙💙💙💤💤💤💤💤💤
@ka3de56,2024-04-19T06:01:33Z,2024-04-19T06:01:33Z,0,God bless President Trump.
@christopherfasone4006,2024-04-19T01:24:45Z,2024-04-19T01:24:45Z,0,Walking with a Full diaper
@user-ls8er5zz6i,2024-04-19T01:23:04Z,2024-04-19T01:23:04Z,0,We love you  Trump <br>Thanks
@nomad4k,2024-04-18T23:08:01Z,2024-04-18T23:08:01Z,0,Loved and respected by most of the free world. But hated in his own country. Weird time we live in. I wish him well.
@tasha1626,2024-04-18T19:15:38Z,2024-04-18T19:15:38Z,0,Trump is trash 🤮🤮
@steve-175,2024-04-18T13:11:34Z,2024-04-18T13:11:34Z,0,"Now the street sweepers got to clean up all the B.S. They left behind. 😮😮😮 So, how are the Hitler/Trump thinkers doing today ???"
@helmutschmuckhelmut-4613,2024-04-18T10:46:44Z,2024-04-18T10:46:44Z,0,Arme USA..<br>Was ist aus Euch und Euren Idealen geworden?
@Brian1961-ep4bq,2024-04-17T22:24:40Z,2024-04-17T22:24:40Z,0,He is the president of the United States
@Patrick-lq1yi,2024-04-17T20:46:18Z,2024-04-17T20:46:18Z,0,Hey Eric you like you need a manzier them teits look huge
@danr2652,2024-04-17T20:42:13Z,2024-04-17T20:42:13Z,0,Cult.
@willpal777,2024-04-17T16:36:30Z,2024-04-17T16:36:30Z,0,Καυλιαρη
@JoseGonzalez-mc8hz,2024-04-17T10:50:48Z,2024-04-17T10:50:48Z,0,"🙏🇺🇲🦅, Trump 2024 🕊️💯🌎💪"
@richardlevin9336,2024-04-17T07:07:12Z,2024-04-17T07:07:12Z,0,Go loser go!
@ercost60,2024-04-16T01:03:34Z,2024-04-16T01:03:34Z,0,Trump is smart. His supporters are fools.
@Lorenzo-hn1pr,2024-04-15T20:57:06Z,2024-04-15T20:57:06Z,0,Yet Biden can be bought by China and that&#39;s just fine. 🎉
@debrabock6475,2024-04-15T15:32:04Z,2024-04-15T15:32:04Z,0,This man has indured such illegal and unwarranted persecution. So shameful.
@reynaldomolina4356,2024-04-15T15:29:37Z,2024-04-15T15:29:37Z,0,Trump 2024
@lucysalazar9318,2024-04-15T00:15:56Z,2024-04-15T00:16:13Z,0,WOW LOOK AT OUR PRESIDENT HE IS SO SHARP ❤❤❤❤❤❤❤
@ElementalDivinity,2024-04-14T19:44:23Z,2024-04-14T19:44:23Z,0,Trumps schedule is Rallys and court dates. Jeez. Let him Be.
@jameskraus844,2024-04-14T19:33:52Z,2024-04-14T19:33:52Z,0,Trump for president <br>Tulsi for VP 🇺🇲💯
@scottnkids,2024-04-14T18:46:44Z,2024-04-14T18:46:44Z,0,"First the courthouse, then the jailhouse."
@The00Dude,2024-04-14T13:36:26Z,2024-04-14T13:36:26Z,0,Cultists of the Orange Jesus!   Justice comes tomorrow!  FDT lets go Stormy
@wmw0702,2024-04-14T09:53:36Z,2024-04-14T09:53:36Z,0,Trump for prison 2024!!! Thatthe only way to stop him from grifting from the poorest of the poor in America.
@kenfarzini6937,2024-04-14T04:30:56Z,2024-04-14T04:30:56Z,0,"He’s a convicted criminal, a con man and a sociopath"
@allenhasenbuhler,2024-04-13T14:27:14Z,2024-04-13T14:27:14Z,5,My President the people’s President and the best President ever!!! He carries himself with dignity and respect and he gives us hope for our country!!! Trump 2024 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸💯🙏❤️
@user-hn3vl1xp1h,2024-04-13T06:15:19Z,2024-04-13T06:15:19Z,3,Don&#39;t be scared haters 😂 TRUMP is coming  back24!!! ❤ we love the greatest!
@richardacevedo8923,2024-04-13T04:16:48Z,2024-04-13T04:16:48Z,8,❤ TRUMP NOVEMBER 2024 BABY ❤
@patriciaaznavourian3014,2024-04-13T02:55:22Z,2024-04-13T02:55:22Z,0,Before heading  to prison😂😂😂
@miriamstevens,2024-04-13T00:39:42Z,2024-04-13T00:39:42Z,0,President Trump is the real deal.
@stevevalencia2450,2024-04-12T13:23:39Z,2024-04-12T13:23:39Z,0,"Lord go before him , shield  him Lord from the onslaughts of his enemies !I humbly ask this in Jesus name Amen"
@lenellmarshall6595,2024-04-12T06:01:22Z,2024-04-12T06:01:22Z,0,It seems he wanted to stop and talk with his supporters!
@gregkirby9059,2024-04-12T03:56:54Z,2024-04-12T03:56:54Z,0,BRO DON!
@davidmitchell8798,2024-04-12T03:23:15Z,2024-04-12T03:23:15Z,3,"Wherever Trump goes, people love him."
@Lizzytan,2024-04-12T01:44:31Z,2024-04-12T01:44:31Z,0,Trump 2024 ❤
@lisabailey4512,2024-04-11T13:42:30Z,2024-04-11T13:42:30Z,0,Trump 2024. MAGA.  Let&#39;s Go Brandon
@Roberto-lg7jx,2024-04-11T09:58:02Z,2024-04-11T09:58:02Z,0,"Lol, have there been any guy with more lawsuits than your Trump in this world ?"
@robertglissendorf9134,2024-04-11T04:41:24Z,2024-04-11T04:41:24Z,0,"Come on  BAM, BAM!!"
@user-mt5bw1it4t,2024-04-11T02:57:16Z,2024-04-11T02:57:16Z,0,Trump 2024🇺🇸
@user-kg7fl3kn5r,2024-04-11T02:37:24Z,2024-04-11T02:37:24Z,0,Whos the booty in white <br>A ts?
@denisbuckley4352,2024-04-09T22:29:56Z,2024-04-09T22:29:56Z,0,God bless President Trump ❤
@user-vb6zu5rw4u,2024-04-09T15:30:42Z,2024-04-09T15:30:42Z,0,Anyone else would be hiding in a cave crippled by the LawfareYETHE DRIVESON!!
@Syrorange,2024-04-09T02:19:20Z,2024-04-09T02:19:20Z,0,Think for yourselves sheep
@Syrorange,2024-04-09T02:18:53Z,2024-04-09T02:18:53Z,0,He is a grifter
@Syrorange,2024-04-09T02:18:38Z,2024-04-09T02:18:38Z,1,Give me a break
@michaelgonzalez7240,2024-04-09T01:08:45Z,2024-04-09T01:08:45Z,0,"He walks like he lost already. Trump prepare for being the first ex president to be guilty of a sex crime, Fraud, and tax cheat . Starting April 15 tax day."
@jessicamanzano2806,2024-04-08T22:56:06Z,2024-04-08T22:56:06Z,9,He’s full of courage and determination!!! Strong man he is blessed
@gailconlon9507,2024-04-08T18:04:19Z,2024-04-08T18:04:19Z,0,THANK YOU PRESIDENT TRUMP for LOVING U.S. AMERICA!🎁💗for🇺🇸
@mariaperez1414,2024-04-07T19:48:49Z,2024-04-07T19:48:49Z,0,Donald Trump Donald Trump Donald Trump  será nuestro presidente   👉
@rubygreby1473,2024-04-07T05:46:49Z,2024-04-07T05:46:49Z,0,❤❤❤🙏🙏🙏🇺🇲🇺🇲🇺🇲TRUMP2024
@NoTrump416,2024-04-06T14:27:37Z,2024-04-06T14:27:37Z,2,It’s called the perp walk.
@18waggie,2024-04-05T22:53:32Z,2024-04-05T22:53:32Z,0,I see the dim witted Trump lovers buying Truth  Social stock a company with no revenue wtf
@18waggie,2024-04-05T22:50:20Z,2024-04-05T22:50:20Z,1,Trump is the greatest!    (scam artist) of all time
@user-rh5vn1tl2z,2024-04-04T15:42:06Z,2024-04-04T15:42:06Z,1,Trump has no dignity showing his face is a criminal a liars
@user-rh5vn1tl2z,2024-04-04T15:41:35Z,2024-04-04T15:41:35Z,0,America is always great that&#39;s what makes trump Father immigrants to her
@jimko9364,2024-04-02T20:51:48Z,2024-04-02T20:51:48Z,0,Trump is a blathering fool. Vote to keep him away from our democracy.
@ReadMachiavelli-gi3wk,2024-04-02T18:18:16Z,2024-04-02T18:18:16Z,0,"Eric: “Dad!! My breasts will be larger than Lara’s!  Will you love me more, then?”"
@ronaldferreria6364,2024-03-31T23:43:40Z,2024-03-31T23:43:40Z,0,I WILL VOTE FOR YOU SIR DONALD TRUMP. COME BACK AS PRESIDENT OF UNITED STATES. I LIVE IN CALIFORNIA STATES. DONALD TRUMP PRESIDENT 2024
@WunArt-nq9xv,2024-03-31T22:57:22Z,2024-03-31T22:57:22Z,0,He’s a loser
@glenntett475,2024-03-31T20:11:36Z,2024-03-31T20:11:36Z,0,All Presidents get that support 😂😂😂😂
@SalmanAhmed-jh7uy,2024-03-31T11:06:13Z,2024-03-31T11:06:13Z,0,We love you trump
@georgieippolito9924,2024-03-30T13:21:08Z,2024-03-30T13:21:18Z,0,"he didn&#39;t greet supporters, he stood still then turned then waved to the judge"
@tydeshawn125,2024-03-29T07:01:28Z,2024-03-29T07:01:28Z,0,Great president damn 🎉
@user-ld5et1ih6t,2024-03-28T20:40:29Z,2024-03-28T20:40:29Z,0,"I can smell him from the middle  of  the CA Desert, Mr Stinky FDT"
@LeonelHaydle,2024-03-28T19:27:47Z,2024-03-28T19:27:47Z,0,God bless president Donald Trump republican party and USA. In God we trust
@faizalayoob7830,2024-03-28T13:07:26Z,2024-03-28T13:07:26Z,0,No war under Trump administration
@organizstylist7732,2024-03-28T02:50:35Z,2024-03-28T02:50:35Z,0,Thank you for traipsing off to your court date to try to get out of going to prison. We got this!! LOL
@sumansanthalmurmu4685,2024-03-27T16:15:09Z,2024-03-27T16:15:09Z,0,Tromp 2024
@SydRyan,2024-03-26T16:32:31Z,2024-03-26T16:32:31Z,0,Hes walking like he sh*t himself
