author,published_at,updated_at,like_count,text
@babadook-qr6pv,2024-05-27T17:56:52Z,2024-05-27T17:56:52Z,1,Is fox that dumb to have someone tey to talk over race cars?
@corinacarrera7301,2024-05-27T17:56:24Z,2024-05-27T17:56:24Z,1,Why didnt fox show Bidens speech it was awsome.
@corinacarrera7301,2024-05-27T17:53:43Z,2024-05-27T17:53:43Z,1,My dad a veteran said trump is a coward for saying McCain is not a war hero!
@InkMyBodyIDGF824,2024-05-27T17:52:56Z,2024-05-27T17:52:56Z,0,TRUMP 2024 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
@jeanenerowan,2024-05-27T17:52:22Z,2024-05-27T17:52:22Z,0,"🤣🤣🤣 Trump posing with the people whom he called &quot;losers and suckers&quot; is such a slap in the face. 🙄 Then Fox News implying that &quot;Blue-Collard workers&quot; should vote for him when every one of his policies takes money out of our pockets &amp; puts it into the ultra-wealthy&#39;s bank accounts is absurd. Get your brown noses out of Trump&#39;s a**, get some dignity &amp; start thinking for yourselves."
@corinacarrera7301,2024-05-27T17:52:03Z,2024-05-27T17:52:03Z,1,Lmao trump waveing pretending people are cheering for him.
@richardmpistol8756,2024-05-27T17:51:19Z,2024-05-27T17:51:41Z,0,Excuse me what did you say hello is anyone that I can&#39;t hear you. What did Biden put you there.
@Tamaah23,2024-05-27T17:49:50Z,2024-05-27T17:49:50Z,0,Can’t hear the reporter at all at nascar. 🙄
@GySgt_USMC_Ret.,2024-05-27T17:40:34Z,2024-05-27T17:41:14Z,0,Trump 2024! 🇺🇸<br><br>Fair winds and following seas to all.
@parabellum5503,2024-05-27T17:40:15Z,2024-05-27T17:40:15Z,1,When are yall gonna stop lying for this dude. Hasnt he cost yall millions of dollars.
@LorenTucker-wu9su,2024-05-27T17:40:11Z,2024-05-27T17:40:11Z,1,Patriotic?  Patriotic??<br><br>Yeah he is so patriotic he dodged the draft five times!
@dereknewton4786,2024-05-27T17:38:30Z,2024-05-27T17:38:30Z,0,Get rid of both these 2 old farts (trump and Biden) and get someone younger who is a real American!  Someone who does kiss a$$ and takes care of the American people!
@tracysherlock6199,2024-05-27T17:37:56Z,2024-05-27T17:37:56Z,1,No they werent cheering for CIVILIAN Trump...it was the Nasca excitment that the crowd were cheering on...and yes the billboard is a true depiction of Trump...Trumps a sad pathetic loser..vote blue.💙💙💙💙💙💙💙
@jaystasko4311,2024-05-27T17:36:08Z,2024-05-27T17:36:08Z,0,"The new saying should be Baseball, Apple Pie, Chevrolet and Donald Trump."
@dwaynetaylor2563,2024-05-27T17:34:34Z,2024-05-27T17:34:34Z,1,No he didn&#39;t.
@dreamwell2020,2024-05-27T17:33:31Z,2024-05-27T17:33:31Z,1,Places where Mr. Trump won&#39;t face open ridicule are getting harder to find.
@corinacarrera7301,2024-05-27T17:31:23Z,2024-05-27T17:31:23Z,1,When trump said Macain is not a war hero my dad who is a veteran  said trump is a pathetic coward!!
@hammajamma100,2024-05-27T17:29:40Z,2024-05-27T17:29:40Z,1,"Trump garbled self serving rant post on Truth Social this Memorial Day morning was disrespectful to those who gave the ultimate sacrifice. The guy has no sense of decorum, taste, or tact."
@ninthundertow,2024-05-27T17:29:14Z,2024-05-27T17:29:14Z,0,&quot;Southern Rednecks&quot; was a bit rough frfr...
@happycamper8888,2024-05-27T17:28:33Z,2024-05-27T17:28:33Z,1,THE SMART REDNECKS WON&#39;T BE VOTING FOR TRUMP😅
@zangetsuzabimaru,2024-05-27T17:27:43Z,2024-05-27T17:27:43Z,0,Why do they keep saying presumptive? He won the primaries.. he has the delegates.. he IS the nominee
